pair,side,entry_time_et,exit_time_et,hold_min,entry_z,exit_z,beta,qty_a,qty_b,entry_a,entry_b,exit_a,exit_b,pnl,exit_reason
V-MA,LONG_SPREAD,2025-12-15 13:06:00-05:00,2025-12-15 13:07:00-05:00,1.0,-3.551253410988975,-3.515478537438795,0.8769947114221668,12,-8,345.260009765625,569.5449829101562,345.2300109863281,569.25,1.9998779296875,STOP
V-MA,LONG_SPREAD,2025-12-15 13:08:00-05:00,2025-12-15 13:14:00-05:00,6.0,-2.131637144215096,-0.08926916901107215,0.8693651963895691,12,-8,345.3450012207031,569.3400268554688,345.364990234375,568.6500244140625,5.7598876953125,TP
V-MA,LONG_SPREAD,2025-12-15 13:36:00-05:00,2025-12-15 13:43:00-05:00,7.0,-2.1090139941969497,-0.017723403662027886,0.699622232742558,10,-9,344.760009765625,568.4301147460938,344.6600036621094,567.989990234375,2.9610595703125,TP
V-MA,SHORT_SPREAD,2025-12-15 14:05:00-05:00,2025-12-15 14:07:00-05:00,2.0,2.3608338988676953,-0.37252313840439727,0.5561262659802405,-9,10,344.6650085449219,567.5549926757812,344.20001220703125,567.4600219726562,3.235260009765625,TP
V-MA,SHORT_SPREAD,2025-12-15 14:18:00-05:00,2025-12-15 14:20:00-05:00,2.0,2.1764991280631842,3.8876629524675335,0.5098824094754785,-8,10,344.67999267578125,567.3800048828125,344.94000244140625,567.6500244140625,0.6201171875,STOP
V-MA,SHORT_SPREAD,2025-12-15 14:21:00-05:00,2025-12-15 14:22:00-05:00,1.0,2.494736942880092,3.3731189333492773,0.48202219303286636,-8,10,345.18499755859375,567.760009765625,345.2300109863281,567.8300170898438,0.3399658203125,STOP
V-MA,SHORT_SPREAD,2025-12-15 14:23:00-05:00,2025-12-15 14:24:00-05:00,1.0,3.199791972765093,3.292342416482246,0.471023869371472,-8,10,345.375,567.9998779296875,345.2799987792969,567.8699951171875,-0.538818359375,STOP
V-MA,SHORT_SPREAD,2025-12-15 14:25:00-05:00,2025-12-15 14:44:00-05:00,19.0,2.9430422436523562,0.17853637312613702,0.4587231457960561,-8,10,345.20001220703125,567.9400024414062,346.0400085449219,569.4500122070312,8.380126953125,TP
V-MA,SHORT_SPREAD,2025-12-15 15:42:00-05:00,2025-12-16 09:30:00-05:00,19.0,2.1089339890636722,,0.4492893434507008,-8,10,346.29998779296875,569.1500244140625,345.95001220703125,566.9000244140625,-19.7001953125,OVERNIGHT_FLAT
V-MA,LONG_SPREAD,2025-12-16 11:12:00-05:00,2025-12-16 11:17:00-05:00,5.0,-2.0012494606949804,-0.10433787836208212,0.5378438793473926,9,-10,345.69000244140625,566.4199829101562,346.0,566.1312255859375,5.67755126953125,TP
V-MA,SHORT_SPREAD,2025-12-16 11:35:00-05:00,2025-12-16 11:39:00-05:00,4.0,2.0138953213068245,0.4858830173071102,0.41679283777848913,-7,11,346.3999938964844,567.0650024414062,346.45001220703125,567.1599731445312,0.694549560546875,TP
V-MA,SHORT_SPREAD,2025-12-16 11:51:00-05:00,2025-12-16 11:57:00-05:00,6.0,2.159653394518664,0.03806080197057058,0.4843349841611695,-8,10,346.18499755859375,566.2550048828125,345.82501220703125,566.0399780273438,0.7296142578125,TP
V-MA,LONG_SPREAD,2025-12-16 14:28:00-05:00,2025-12-16 14:58:00-05:00,30.0,-2.346503893878733,,0.5299027746894184,9,-10,343.9949951171875,564.3656005859375,344.0199890136719,564.969970703125,-5.818756103515625,TIME
V-MA,LONG_SPREAD,2025-12-16 14:59:00-05:00,2025-12-16 15:03:00-05:00,4.0,-2.120591863428658,-0.3811617883855383,0.661616780652328,10,-9,344.0899963378906,565.125,344.7099914550781,565.7849731445312,0.26019287109375,TP
V-MA,SHORT_SPREAD,2025-12-16 15:36:00-05:00,2025-12-16 15:39:00-05:00,3.0,2.0179176372012053,3.028842475485485,0.38895027821894845,-7,11,345.4700012207031,566.5175170898438,345.260009765625,565.682373046875,-7.716644287109375,STOP
V-AXP,LONG_SPREAD,2025-12-10 15:20:00-05:00,2025-12-10 15:50:00-05:00,30.0,-2.5354919234526316,,0.21111668987066573,4,-19,326.864990234375,377.3800048828125,326.17498779296875,376.03009033203125,22.88836669921875,TIME
V-AXP,SHORT_SPREAD,2025-12-11 09:50:00-05:00,2025-12-11 10:12:00-05:00,22.0,2.3488116129155308,0.4557585108814252,1.6455015387015048,-16,8,335.2900085449219,379.79998779296875,335.20001220703125,380.8500061035156,9.840087890625,TP
V-AXP,SHORT_SPREAD,2025-12-11 11:13:00-05:00,2025-12-11 11:18:00-05:00,5.0,2.162328836067863,0.4749008046786677,1.1563172973297144,-14,10,339.5899963378906,382.1099853515625,339.8299865722656,382.5950927734375,1.4912109375,TP
V-AXP,SHORT_SPREAD,2025-12-11 11:33:00-05:00,2025-12-11 12:03:00-05:00,30.0,2.8253874131509473,,1.5318657905177935,-16,9,340.32000732421875,381.8599853515625,341.67999267578125,382.7099914550781,-14.109710693359375,TIME
V-AXP,LONG_SPREAD,2025-12-11 15:19:00-05:00,2025-12-11 15:35:00-05:00,16.0,-2.479265202579776,0.01776958558196174,1.0274360515891863,13,-11,345.7799987792969,385.5299987792969,345.9700012207031,385.3900146484375,4.009857177734375,TP
V-AXP,SHORT_SPREAD,2025-12-11 15:54:00-05:00,2025-12-11 15:55:00-05:00,1.0,2.2564678899602097,4.122006362539632,0.40249368776977246,-7,16,346.9700012207031,385.510009765625,347.0299987792969,385.1400146484375,-6.33990478515625,STOP
